Road_Type,Weather,Visibility_km,Road_Surface,Light_Condition,Vehicle_Speed,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Experience,Alcohol_Consumption,Seat_Belt,Time_of_Day,Day_of_Week,Area_Type,Road_Curvature,Junction_Type,Traffic_Signal,Pedestrian_Crossing,Rain,Fog,Temperature_C,Accident_Occurred
Rural Road,Clear,7.7,Dry,Dark - Lit,68.6,High,Bus,41,10,No,Yes,Afternoon,Sunday,Rural,Straight,T-Junction,Yes,Yes,No,No,-4.6,0
Rural Road,Clear,2.2,Wet,Dusk/Dawn,132.9,Medium,Truck,63,0,No,Yes,Morning,Sunday,Rural,Straight,T-Junction,Yes,Yes,Yes,No,33.3,1
Highway,Rainy,2.5,Wet,Dark - Unlit,131.6,Medium,Car,25,4,No,No,Night,Wednesday,Rural,Straight,Crossroad,Yes,Yes,Yes,No,0.6,1
Highway,Snowy,5.3,Wet,Dark - Lit,89.3,Low,Car,30,9,Yes,Yes,Morning,Sunday,Urban,Straight,T-Junction,No,No,No,No,-5.6,1
Urban Road,Clear,1.9,Wet,Dark - Unlit,86.2,Low,Bus,20,38,No,Yes,Afternoon,Friday,Rural,Sharp Curve,Roundabout,Yes,No,No,No,38.7,0
Residential,Clear,3.2,Dry,Dark - Lit,101.1,High,Car,51,12,No,No,Evening,Thursday,Urban,Straight,Roundabout,Yes,Yes,Yes,No,28.6,0
Urban Road,Windy,3.4,Muddy,Dark - Unlit,50.7,Medium,Truck,30,20,No,Yes,Evening,Friday,Urban,Sharp Curve,Roundabout,Yes,Yes,No,Yes,-7.9,1
Highway,Clear,1.8,Muddy,Dark - Unlit,93.6,Low,Motorcycle,74,35,No,No,Evening,Saturday,Rural,Straight,T-Junction,Yes,No,No,Yes,41.2,1
Urban Road,Rainy,2.2,Dry,Dark - Lit,21.5,Low,Car,71,32,No,Yes,Night,Thursday,Urban,Sharp Curve,Roundabout,Yes,No,Yes,No,44.9,0
Highway,Rainy,7.9,Muddy,Daylight,86.6,High,Car,49,27,No,No,Night,Tuesday,Rural,Straight,No Junction,No,No,No,No,24.0,0
Urban Road,Rainy,1.8,Dry,Daylight,67.0,Medium,Truck,52,8,No,No,Night,Sunday,Rural,Slight Curve,No Junction,No,Yes,No,No,-1.9,1
Highway,Clear,0.5,Wet,Dark - Lit,114.5,Low,Car,38,10,No,No,Night,Friday,Urban,Slight Curve,No Junction,No,No,No,No,18.4,0
Highway,Clear,6.4,Dry,Dusk/Dawn,109.4,Low,Motorcycle,18,39,No,No,Morning,Wednesday,Rural,Sharp Curve,T-Junction,No,Yes,No,No,27.3,1
Highway,Clear,9.8,Muddy,Dark - Lit,73.3,Low,Bus,19,28,No,Yes,Evening,Friday,Rural,Slight Curve,Crossroad,Yes,No,No,No,0.2,0
Residential,Rainy,3.4,Dry,Dark - Lit,21.0,Low,Bus,74,6,No,Yes,Evening,Monday,Urban,Straight,Crossroad,Yes,Yes,No,No,11.3,0
Urban Road,Rainy,1.4,Dry,Dusk/Dawn,55.3,Low,Bus,59,26,No,Yes,Night,Monday,Urban,Straight,No Junction,No,Yes,Yes,No,-4.0,0
Urban Road,Clear,5.8,Dry,Dark - Lit,108.7,Low,Motorcycle,60,21,No,Yes,Night,Monday,Urban,Straight,T-Junction,Yes,No,No,Yes,21.9,0
Urban Road,Rainy,9.1,Dry,Dark - Lit,30.1,Medium,Bus,43,30,No,Yes,Morning,Wednesday,Rural,Straight,No Junction,Yes,No,No,No,8.9,0
Highway,Snowy,7.9,Wet,Dusk/Dawn,35.1,High,Truck,20,29,No,No,Morning,Wednesday,Rural,Slight Curve,No Junction,Yes,Yes,Yes,No,9.4,0
Urban Road,Clear,6.3,Dry,Dusk/Dawn,110.6,High,Truck,41,27,Yes,Yes,Morning,Sunday,Rural,Straight,Roundabout,Yes,No,Yes,No,15.3,1
Urban Road,Rainy,3.3,Wet,Daylight,125.8,High,Motorcycle,43,19,No,No,Evening,Monday,Rural,Slight Curve,T-Junction,Yes,No,Yes,No,3.9,1
Highway,Foggy,5.5,Muddy,Dark - Unlit,65.0,Low,Motorcycle,25,14,No,No,Evening,Saturday,Urban,Slight Curve,No Junction,No,No,No,No,23.9,0
Rural Road,Clear,1.1,Icy,Dark - Unlit,88.6,High,Motorcycle,64,14,No,Yes,Evening,Sunday,Urban,Sharp Curve,Roundabout,Yes,Yes,No,No,26.9,1
Highway,Clear,6.9,Icy,Daylight,152.4,Medium,Truck,54,11,No,Yes,Evening,Wednesday,Rural,Slight Curve,T-Junction,No,Yes,No,No,3.8,1
Urban Road,Rainy,7.3,Dry,Daylight,152.4,Low,Motorcycle,25,16,No,Yes,Morning,Saturday,Rural,Straight,No Junction,No,No,No,No,32.4,0
Highway,Windy,9.7,Dry,Dark - Unlit,63.1,Medium,Motorcycle,35,22,No,Yes,Night,Wednesday,Urban,Slight Curve,Crossroad,Yes,No,No,Yes,-7.1,1
Rural Road,Snowy,2.8,Dry,Daylight,133.4,Low,Bus,35,5,No,Yes,Evening,Wednesday,Rural,Slight Curve,No Junction,No,Yes,Yes,Yes,28.0,1
Highway,Rainy,0.4,Dry,Dark - Lit,103.2,Low,Motorcycle,29,15,No,No,Morning,Monday,Urban,Straight,Crossroad,No,No,No,No,13.9,1
Urban Road,Foggy,5.5,Muddy,Daylight,156.6,High,Car,53,26,Yes,Yes,Night,Tuesday,Urban,Straight,Roundabout,Yes,No,No,No,24.2,1
Rural Road,Clear,7.1,Dry,Daylight,86.9,Medium,Bus,57,22,Yes,Yes,Afternoon,Saturday,Urban,Straight,No Junction,Yes,No,No,No,11.9,0
Residential,Rainy,7.9,Muddy,Daylight,128.5,High,Truck,19,0,No,Yes,Night,Saturday,Rural,Sharp Curve,Roundabout,No,Yes,No,No,10.8,1
Urban Road,Rainy,2.1,Dry,Daylight,127.5,Low,Truck,37,6,No,Yes,Afternoon,Sunday,Urban,Straight,Roundabout,Yes,Yes,Yes,Yes,-2.1,1
Rural Road,Clear,2.8,Icy,Dark - Unlit,89.6,Medium,Truck,73,38,No,No,Afternoon,Tuesday,Rural,Slight Curve,No Junction,Yes,No,No,No,29.2,1
Rural Road,Foggy,5.2,Dry,Dusk/Dawn,131.4,Medium,Bus,20,39,No,No,Evening,Thursday,Urban,Sharp Curve,Roundabout,No,No,No,No,6.5,1
Residential,Rainy,3.4,Dry,Dark - Unlit,56.5,Low,Truck,57,39,No,No,Morning,Friday,Rural,Straight,Crossroad,No,No,No,No,13.7,0
Highway,Clear,8.6,Wet,Dark - Unlit,37.1,High,Bus,61,38,No,Yes,Night,Tuesday,Urban,Straight,No Junction,Yes,Yes,No,No,31.7,0
Highway,Windy,4.8,Dry,Dusk/Dawn,79.5,Low,Bus,51,17,No,Yes,Afternoon,Thursday,Rural,Straight,T-Junction,Yes,No,Yes,No,2.6,0
Urban Road,Clear,8.0,Wet,Dark - Unlit,152.1,Medium,Car,66,35,No,Yes,Morning,Tuesday,Rural,Slight Curve,Crossroad,Yes,No,No,Yes,14.8,1
Residential,Clear,5.9,Wet,Dark - Lit,90.1,Medium,Car,63,21,No,Yes,Night,Monday,Urban,Straight,T-Junction,Yes,No,No,No,7.6,0
Highway,Clear,7.8,Dry,Dusk/Dawn,108.9,Medium,Car,63,1,No,Yes,Evening,Sunday,Urban,Sharp Curve,T-Junction,No,No,Yes,No,29.3,1
Residential,Foggy,3.5,Muddy,Dark - Lit,107.4,Low,Car,23,25,Yes,Yes,Night,Thursday,Urban,Straight,Crossroad,Yes,No,No,No,42.9,1
Highway,Foggy,8.3,Dry,Dark - Unlit,38.6,Medium,Car,57,31,No,Yes,Evening,Monday,Urban,Slight Curve,Roundabout,No,No,No,No,42.3,0
Rural Road,Clear,2.9,Wet,Dark - Unlit,74.6,Medium,Truck,74,22,No,Yes,Night,Monday,Urban,Sharp Curve,Roundabout,No,Yes,Yes,No,17.3,1
Highway,Foggy,5.6,Dry,Dusk/Dawn,119.0,High,Truck,27,39,No,No,Night,Thursday,Rural,Straight,No Junction,No,Yes,No,No,-0.7,1
Residential,Clear,2.3,Wet,Dark - Unlit,156.1,High,Truck,41,17,No,Yes,Afternoon,Saturday,Rural,Straight,T-Junction,Yes,No,No,No,43.1,1
Rural Road,Foggy,4.9,Dry,Daylight,43.5,Medium,Car,35,18,No,Yes,Afternoon,Saturday,Rural,Sharp Curve,Roundabout,No,Yes,No,No,39.0,0
Rural Road,Rainy,3.3,Dry,Dark - Lit,77.5,High,Motorcycle,50,23,Yes,No,Afternoon,Thursday,Rural,Sharp Curve,Roundabout,No,No,No,No,-1.3,1
Rural Road,Clear,2.8,Dry,Dark - Lit,33.3,Low,Truck,56,3,No,No,Evening,Tuesday,Urban,Sharp Curve,No Junction,Yes,Yes,Yes,No,5.0,0
Residential,Windy,9.7,Dry,Daylight,53.9,High,Truck,24,1,No,No,Night,Tuesday,Urban,Straight,T-Junction,No,Yes,No,No,-3.9,0
Urban Road,Clear,1.8,Dry,Dusk/Dawn,72.7,High,Motorcycle,62,29,No,Yes,Night,Friday,Urban,Straight,Crossroad,Yes,No,No,No,42.6,0
Urban Road,Clear,7.9,Wet,Dusk/Dawn,95.7,High,Car,65,37,No,Yes,Evening,Sunday,Urban,Straight,Crossroad,No,Yes,No,Yes,-6.1,0
Urban Road,Rainy,9.8,Wet,Daylight,52.3,High,Bus,61,30,Yes,Yes,Night,Sunday,Urban,Straight,T-Junction,No,No,No,Yes,11.7,0
Residential,Windy,0.4,Dry,Daylight,51.9,Low,Motorcycle,46,39,No,Yes,Afternoon,Tuesday,Rural,Slight Curve,Roundabout,No,No,No,Yes,36.1,0
Rural Road,Clear,7.1,Dry,Dark - Lit,128.9,High,Motorcycle,36,15,No,No,Evening,Saturday,Urban,Slight Curve,Roundabout,Yes,No,No,No,19.9,1
Urban Road,Clear,2.7,Dry,Daylight,154.8,Medium,Truck,55,32,No,No,Evening,Thursday,Rural,Straight,Crossroad,No,Yes,No,No,18.4,1
Residential,Clear,0.6,Dry,Daylight,65.3,High,Truck,56,2,Yes,Yes,Night,Tuesday,Rural,Sharp Curve,T-Junction,No,No,Yes,No,11.1,1
Urban Road,Rainy,4.1,Dry,Daylight,116.3,High,Car,42,17,No,Yes,Afternoon,Thursday,Urban,Slight Curve,Roundabout,Yes,Yes,No,No,-9.5,1
Highway,Clear,9.4,Dry,Dark - Unlit,56.1,Medium,Bus,34,9,No,Yes,Night,Sunday,Urban,Straight,No Junction,No,Yes,Yes,No,-1.8,0
Urban Road,Foggy,0.3,Muddy,Daylight,149.9,Low,Bus,68,1,No,No,Night,Friday,Rural,Sharp Curve,T-Junction,No,Yes,Yes,No,21.8,1
Urban Road,Windy,6.0,Wet,Dark - Unlit,114.2,Medium,Motorcycle,54,29,No,Yes,Evening,Thursday,Rural,Straight,T-Junction,No,Yes,No,No,34.1,1
Rural Road,Rainy,5.1,Dry,Dark - Lit,132.4,Medium,Car,20,29,Yes,Yes,Evening,Friday,Rural,Straight,T-Junction,Yes,No,Yes,Yes,25.6,1
Residential,Clear,8.8,Dry,Dark - Lit,26.9,Medium,Bus,41,24,No,Yes,Morning,Sunday,Urban,Straight,Crossroad,No,No,No,No,31.8,0
Rural Road,Clear,1.0,Wet,Dusk/Dawn,103.8,Medium,Motorcycle,71,23,No,Yes,Night,Friday,Urban,Straight,Crossroad,Yes,Yes,Yes,No,1.4,1
Rural Road,Clear,6.9,Dry,Dark - Lit,93.9,High,Truck,35,34,No,Yes,Morning,Sunday,Urban,Straight,Roundabout,Yes,No,No,Yes,20.9,0
Rural Road,Windy,6.9,Wet,Dusk/Dawn,61.0,High,Bus,66,9,No,Yes,Night,Friday,Rural,Slight Curve,Roundabout,No,No,No,No,10.4,0
Rural Road,Clear,6.8,Muddy,Dark - Unlit,56.7,High,Motorcycle,43,29,No,Yes,Morning,Monday,Rural,Sharp Curve,Crossroad,Yes,Yes,No,No,8.4,0
Rural Road,Clear,9.4,Wet,Daylight,101.2,High,Bus,38,25,No,Yes,Night,Saturday,Rural,Sharp Curve,Roundabout,No,No,Yes,No,13.4,0
Urban Road,Foggy,8.3,Dry,Dark - Lit,118.9,Low,Car,28,34,Yes,No,Evening,Sunday,Urban,Slight Curve,T-Junction,Yes,No,Yes,No,37.9,1
Rural Road,Clear,0.6,Wet,Daylight,24.6,High,Motorcycle,74,23,No,No,Evening,Wednesday,Rural,Slight Curve,Crossroad,No,No,No,Yes,38.7,0
Rural Road,Rainy,4.8,Muddy,Dusk/Dawn,99.4,High,Car,58,19,No,Yes,Morning,Saturday,Urban,Slight Curve,Roundabout,No,No,Yes,No,33.4,0
Residential,Clear,4.1,Wet,Dark - Unlit,43.9,Low,Motorcycle,34,38,No,Yes,Morning,Thursday,Urban,Straight,Crossroad,Yes,Yes,No,No,10.7,0
Highway,Snowy,3.2,Wet,Dark - Lit,39.7,Medium,Truck,68,39,No,Yes,Morning,Saturday,Urban,Straight,Crossroad,No,No,No,No,-8.7,1
Urban Road,Windy,4.6,Dry,Daylight,107.2,High,Bus,62,34,No,Yes,Afternoon,Sunday,Urban,Sharp Curve,Crossroad,No,No,No,No,10.2,0
Urban Road,Rainy,4.0,Dry,Dusk/Dawn,63.5,High,Truck,55,38,No,Yes,Morning,Sunday,Urban,Straight,Crossroad,No,Yes,No,No,35.4,0
Urban Road,Windy,4.4,Wet,Daylight,81.7,Medium,Car,38,9,Yes,Yes,Morning,Tuesday,Rural,Straight,T-Junction,No,Yes,Yes,No,-4.6,0
Rural Road,Clear,9.8,Muddy,Dark - Lit,70.4,High,Bus,21,26,Yes,No,Morning,Wednesday,Urban,Straight,T-Junction,Yes,Yes,No,No,26.8,0
Rural Road,Rainy,1.1,Wet,Daylight,110.8,Medium,Truck,49,14,No,Yes,Afternoon,Saturday,Urban,Slight Curve,Roundabout,No,Yes,No,No,37.2,1
Rural Road,Rainy,9.2,Wet,Dark - Unlit,85.8,Medium,Motorcycle,35,14,Yes,Yes,Afternoon,Wednesday,Rural,Straight,Crossroad,Yes,No,No,Yes,15.7,1
Residential,Rainy,4.9,Dry,Dark - Lit,154.9,Medium,Motorcycle,61,36,Yes,Yes,Night,Saturday,Rural,Slight Curve,Crossroad,Yes,No,No,Yes,-7.7,1
Highway,Clear,6.3,Dry,Dusk/Dawn,69.3,High,Truck,45,34,No,Yes,Evening,Sunday,Rural,Sharp Curve,T-Junction,No,Yes,No,No,17.7,0
Rural Road,Clear,8.3,Dry,Dark - Lit,123.6,Medium,Bus,53,2,No,Yes,Morning,Sunday,Urban,Straight,Roundabout,No,No,Yes,No,28.1,0
Highway,Clear,3.7,Dry,Dusk/Dawn,56.0,High,Car,54,28,No,Yes,Morning,Monday,Urban,Straight,T-Junction,No,Yes,No,Yes,26.1,0
Residential,Clear,4.4,Wet,Dusk/Dawn,91.2,Low,Motorcycle,61,3,No,Yes,Evening,Thursday,Urban,Straight,Crossroad,Yes,No,Yes,No,18.2,0
Urban Road,Clear,4.2,Dry,Dark - Lit,97.4,Medium,Car,67,15,No,Yes,Night,Sunday,Rural,Straight,No Junction,No,No,No,No,23.2,0
Rural Road,Foggy,3.9,Wet,Dusk/Dawn,66.1,High,Bus,43,4,No,No,Night,Thursday,Urban,Straight,Roundabout,No,No,No,Yes,5.2,1
Highway,Clear,9.3,Icy,Dark - Lit,86.0,Medium,Bus,66,20,No,No,Morning,Tuesday,Rural,Slight Curve,Crossroad,Yes,No,No,No,1.7,0
Highway,Clear,8.3,Dry,Dark - Unlit,59.1,High,Motorcycle,72,39,No,No,Evening,Monday,Rural,Straight,No Junction,Yes,No,No,No,38.8,0
Rural Road,Rainy,1.3,Dry,Dark - Unlit,20.8,High,Car,72,20,No,Yes,Morning,Saturday,Urban,Straight,Crossroad,Yes,No,No,No,5.9,0
Urban Road,Rainy,1.3,Wet,Daylight,50.2,Low,Bus,41,1,No,Yes,Morning,Saturday,Rural,Slight Curve,Roundabout,No,No,No,Yes,28.1,1
Urban Road,Windy,4.4,Muddy,Dark - Unlit,118.0,Medium,Car,27,13,No,Yes,Morning,Saturday,Rural,Straight,Roundabout,No,No,No,No,0.1,0
Urban Road,Rainy,1.2,Wet,Dusk/Dawn,127.9,High,Motorcycle,55,4,Yes,No,Evening,Saturday,Urban,Straight,Roundabout,Yes,Yes,No,No,13.7,1
Residential,Clear,6.3,Dry,Daylight,59.2,Low,Motorcycle,66,6,No,Yes,Evening,Wednesday,Urban,Straight,No Junction,Yes,No,No,No,-2.2,0
Highway,Snowy,1.6,Dry,Daylight,77.1,High,Bus,25,10,No,Yes,Night,Saturday,Urban,Straight,No Junction,Yes,No,Yes,No,6.2,1
Highway,Rainy,5.3,Dry,Dark - Lit,25.2,High,Bus,19,34,No,No,Evening,Thursday,Urban,Straight,Crossroad,No,No,No,No,-0.1,0
Highway,Clear,0.3,Dry,Daylight,53.2,Low,Car,61,29,No,Yes,Evening,Monday,Urban,Slight Curve,Roundabout,No,No,No,No,42.6,0
Residential,Rainy,3.3,Icy,Dark - Lit,129.1,Medium,Bus,52,0,No,No,Evening,Friday,Urban,Straight,T-Junction,No,Yes,No,No,-9.1,1
Highway,Windy,6.8,Icy,Daylight,104.8,Low,Motorcycle,73,15,No,No,Afternoon,Thursday,Urban,Straight,T-Junction,No,Yes,No,No,9.1,1
Residential,Clear,4.9,Dry,Dark - Unlit,48.8,Medium,Bus,69,0,No,No,Night,Saturday,Rural,Straight,Roundabout,No,Yes,Yes,Yes,24.6,0
Urban Road,Clear,9.8,Dry,Dark - Lit,56.0,High,Truck,38,21,Yes,Yes,Evening,Wednesday,Rural,Slight Curve,T-Junction,Yes,Yes,No,Yes,38.3,0
Rural Road,Clear,8.8,Dry,Dusk/Dawn,134.4,High,Motorcycle,74,12,No,Yes,Morning,Friday,Rural,Straight,T-Junction,No,Yes,No,No,44.8,1
Highway,Clear,3.7,Muddy,Daylight,49.3,Low,Car,44,26,No,Yes,Afternoon,Sunday,Urban,Straight,Roundabout,Yes,No,No,No,23.5,0
Highway,Clear,0.6,Dry,Dark - Unlit,66.8,Low,Bus,40,14,No,Yes,Afternoon,Friday,Urban,Sharp Curve,Crossroad,No,Yes,Yes,No,40.5,0
Urban Road,Rainy,8.5,Wet,Dark - Unlit,113.0,Low,Bus,49,16,No,Yes,Night,Saturday,Rural,Straight,No Junction,No,No,No,No,42.2,0
Rural Road,Clear,9.1,Dry,Dark - Lit,98.6,High,Motorcycle,43,8,No,Yes,Afternoon,Friday,Urban,Straight,T-Junction,Yes,No,No,No,19.5,0
Residential,Windy,8.2,Wet,Dark - Lit,84.5,Medium,Motorcycle,24,4,Yes,Yes,Afternoon,Saturday,Rural,Slight Curve,Roundabout,No,No,No,No,-3.6,1
Rural Road,Foggy,1.5,Dry,Dark - Lit,146.0,Low,Car,50,22,No,Yes,Night,Wednesday,Urban,Straight,Crossroad,No,No,No,No,17.6,1
Urban Road,Rainy,10.0,Dry,Dusk/Dawn,50.8,Medium,Motorcycle,34,10,Yes,Yes,Evening,Monday,Urban,Slight Curve,Roundabout,Yes,No,No,No,16.6,0
Urban Road,Snowy,2.7,Wet,Dusk/Dawn,123.8,Low,Car,25,23,No,No,Night,Thursday,Urban,Straight,Crossroad,Yes,No,Yes,No,20.1,1
Rural Road,Clear,7.3,Wet,Dusk/Dawn,42.3,Low,Bus,59,7,No,No,Morning,Monday,Urban,Straight,T-Junction,Yes,No,No,No,9.4,0
Residential,Rainy,9.1,Dry,Daylight,106.2,Low,Car,34,33,No,No,Evening,Saturday,Urban,Slight Curve,T-Junction,No,No,No,No,26.8,0
Residential,Rainy,2.5,Dry,Dusk/Dawn,141.9,Low,Car,65,30,No,Yes,Evening,Wednesday,Rural,Slight Curve,T-Junction,No,Yes,Yes,No,15.6,1
Highway,Snowy,9.1,Dry,Dark - Lit,84.1,High,Car,59,21,No,Yes,Afternoon,Tuesday,Rural,Straight,T-Junction,Yes,No,No,No,21.4,0
Residential,Snowy,3.2,Dry,Dark - Unlit,121.4,High,Bus,64,13,No,Yes,Evening,Saturday,Rural,Straight,Crossroad,No,Yes,No,No,6.6,1
Rural Road,Clear,9.8,Wet,Dark - Unlit,134.9,Low,Truck,65,4,No,Yes,Afternoon,Thursday,Rural,Straight,Roundabout,Yes,No,No,No,14.2,1
Urban Road,Windy,3.0,Muddy,Dark - Lit,39.0,High,Truck,35,16,No,Yes,Evening,Thursday,Rural,Sharp Curve,Crossroad,No,No,Yes,No,29.2,0
Highway,Clear,9.5,Dry,Dusk/Dawn,118.8,High,Car,53,17,No,No,Night,Sunday,Rural,Slight Curve,No Junction,No,No,No,No,-4.1,1
Highway,Windy,0.7,Dry,Dusk/Dawn,148.8,High,Motorcycle,74,18,No,Yes,Afternoon,Saturday,Urban,Straight,No Junction,No,Yes,Yes,No,34.1,1
Urban Road,Windy,7.2,Dry,Dark - Lit,100.7,High,Truck,56,6,No,Yes,Night,Tuesday,Urban,Slight Curve,Crossroad,Yes,Yes,No,No,13.3,0
Residential,Clear,5.4,Dry,Dark - Unlit,46.1,Medium,Bus,61,25,No,No,Afternoon,Sunday,Urban,Straight,No Junction,No,No,Yes,No,43.6,0
Urban Road,Foggy,4.9,Dry,Daylight,37.8,Medium,Car,40,24,No,No,Afternoon,Friday,Urban,Slight Curve,Crossroad,Yes,Yes,No,No,19.2,0
Residential,Clear,2.4,Wet,Dark - Unlit,56.4,High,Truck,29,17,No,Yes,Afternoon,Thursday,Rural,Slight Curve,T-Junction,Yes,Yes,Yes,No,-6.9,0
Urban Road,Clear,7.1,Dry,Dusk/Dawn,34.5,Medium,Bus,40,14,No,Yes,Evening,Sunday,Urban,Sharp Curve,Crossroad,No,Yes,No,No,18.1,0
Rural Road,Rainy,2.1,Wet,Dark - Unlit,91.9,Low,Car,70,28,No,Yes,Evening,Thursday,Urban,Straight,T-Junction,Yes,Yes,No,No,19.1,1
Residential,Rainy,5.6,Icy,Dusk/Dawn,29.8,Medium,Truck,50,0,Yes,Yes,Night,Sunday,Urban,Straight,Roundabout,No,No,No,No,26.7,1
Rural Road,Windy,2.7,Muddy,Dark - Unlit,51.3,Low,Car,70,3,No,No,Morning,Sunday,Rural,Straight,Roundabout,No,No,No,No,-0.9,1
Highway,Foggy,9.6,Muddy,Dark - Lit,81.6,Medium,Truck,73,8,No,Yes,Night,Saturday,Rural,Straight,T-Junction,Yes,No,No,No,16.2,0
Urban Road,Rainy,0.5,Wet,Dusk/Dawn,86.3,Medium,Truck,45,35,No,Yes,Morning,Thursday,Urban,Slight Curve,Crossroad,Yes,Yes,No,No,11.3,0
Highway,Snowy,2.2,Muddy,Daylight,99.2,Low,Motorcycle,61,31,No,Yes,Afternoon,Wednesday,Rural,Straight,Crossroad,No,Yes,No,No,40.5,1
Highway,Windy,2.6,Dry,Daylight,118.8,Low,Truck,40,23,No,Yes,Morning,Tuesday,Rural,Straight,T-Junction,Yes,No,Yes,No,6.3,0
Highway,Clear,4.3,Dry,Dark - Lit,26.6,High,Motorcycle,24,36,No,Yes,Morning,Sunday,Rural,Straight,No Junction,No,No,No,No,-9.0,0
Highway,Windy,2.5,Dry,Dark - Unlit,31.3,Medium,Bus,64,17,No,Yes,Afternoon,Thursday,Urban,Straight,Crossroad,No,Yes,No,No,17.4,0
Urban Road,Clear,5.0,Wet,Dark - Lit,28.5,Low,Truck,19,14,Yes,Yes,Night,Sunday,Rural,Straight,T-Junction,No,Yes,No,No,43.0,0
Highway,Snowy,8.8,Muddy,Dark - Lit,79.2,High,Car,18,19,No,No,Afternoon,Saturday,Urban,Straight,No Junction,Yes,No,No,No,25.3,0
Urban Road,Clear,7.2,Dry,Daylight,25.9,Low,Motorcycle,21,39,No,Yes,Afternoon,Tuesday,Rural,Straight,No Junction,No,Yes,Yes,No,23.0,0
Urban Road,Clear,5.9,Wet,Daylight,124.5,High,Truck,25,1,No,Yes,Morning,Friday,Rural,Straight,T-Junction,Yes,Yes,Yes,No,35.8,1
Rural Road,Clear,1.1,Wet,Dusk/Dawn,51.2,High,Motorcycle,66,24,No,Yes,Afternoon,Thursday,Rural,Sharp Curve,Crossroad,Yes,Yes,No,No,-1.5,0
Residential,Rainy,7.0,Muddy,Dusk/Dawn,151.5,Low,Car,46,12,No,No,Night,Monday,Urban,Straight,No Junction,No,Yes,No,No,9.5,1
Residential,Clear,1.8,Wet,Dusk/Dawn,88.1,Low,Car,35,26,No,No,Morning,Saturday,Rural,Slight Curve,No Junction,Yes,Yes,No,No,1.5,0
Urban Road,Clear,7.9,Muddy,Dark - Lit,82.5,Medium,Car,72,12,No,No,Night,Monday,Urban,Straight,No Junction,Yes,No,Yes,No,11.1,0
Rural Road,Rainy,2.7,Dry,Dark - Lit,129.3,Medium,Bus,54,27,No,Yes,Afternoon,Saturday,Urban,Slight Curve,Roundabout,Yes,No,No,No,-6.9,1
Urban Road,Windy,4.3,Dry,Dusk/Dawn,119.8,High,Bus,48,14,No,Yes,Night,Monday,Rural,Straight,T-Junction,No,Yes,No,No,12.6,1
Urban Road,Clear,3.6,Dry,Daylight,105.0,Low,Car,23,28,No,Yes,Night,Monday,Urban,Slight Curve,Roundabout,Yes,No,Yes,No,-1.9,1
Urban Road,Clear,8.6,Dry,Daylight,150.9,Medium,Bus,61,20,No,Yes,Afternoon,Saturday,Urban,Straight,No Junction,Yes,Yes,Yes,No,24.1,0
Rural Road,Clear,1.4,Dry,Dark - Unlit,79.1,High,Bus,41,30,No,Yes,Evening,Wednesday,Urban,Straight,No Junction,Yes,No,No,No,16.4,1
Residential,Clear,5.7,Wet,Dusk/Dawn,133.2,Medium,Bus,65,22,No,Yes,Night,Saturday,Urban,Straight,T-Junction,No,Yes,No,No,26.7,1
Rural Road,Snowy,1.6,Wet,Dark - Lit,73.2,High,Bus,58,36,No,Yes,Evening,Friday,Rural,Straight,No Junction,No,No,No,No,14.3,0
Highway,Snowy,7.1,Wet,Dark - Unlit,137.4,Medium,Bus,32,2,No,Yes,Afternoon,Thursday,Urban,Straight,T-Junction,Yes,Yes,No,No,24.4,1
Rural Road,Rainy,9.1,Dry,Dark - Unlit,56.3,Low,Bus,57,34,No,Yes,Evening,Friday,Rural,Straight,No Junction,Yes,No,No,No,-4.5,0
Rural Road,Clear,4.5,Dry,Dark - Unlit,60.5,High,Car,29,13,No,No,Evening,Saturday,Urban,Slight Curve,T-Junction,Yes,Yes,Yes,No,-0.9,0
Rural Road,Snowy,5.0,Dry,Dusk/Dawn,114.9,High,Bus,63,1,No,Yes,Evening,Monday,Urban,Straight,T-Junction,Yes,No,No,No,43.2,1
Rural Road,Rainy,9.3,Dry,Dusk/Dawn,49.8,Medium,Bus,66,12,Yes,Yes,Evening,Saturday,Rural,Slight Curve,Crossroad,No,Yes,No,No,36.2,0
Residential,Snowy,5.3,Wet,Dusk/Dawn,52.1,Medium,Motorcycle,31,1,No,Yes,Night,Friday,Urban,Slight Curve,Crossroad,No,Yes,No,Yes,20.7,1
Highway,Rainy,5.0,Dry,Daylight,62.7,Medium,Motorcycle,44,11,Yes,No,Night,Friday,Rural,Slight Curve,T-Junction,Yes,Yes,No,No,44.9,1
Residential,Snowy,5.9,Dry,Dark - Unlit,115.1,Low,Bus,69,26,No,Yes,Morning,Wednesday,Urban,Straight,T-Junction,Yes,Yes,No,No,-8.0,1
Residential,Rainy,7.0,Wet,Daylight,144.5,Medium,Truck,54,33,No,Yes,Evening,Saturday,Rural,Slight Curve,No Junction,No,Yes,No,No,43.8,1
Rural Road,Clear,1.2,Dry,Dusk/Dawn,114.4,Medium,Truck,30,39,No,Yes,Afternoon,Sunday,Rural,Straight,No Junction,No,No,No,No,-6.7,0
Urban Road,Windy,8.2,Muddy,Daylight,135.9,Low,Bus,74,4,Yes,Yes,Night,Sunday,Urban,Sharp Curve,Crossroad,Yes,No,No,No,25.3,1
